Reasons Defined:,,,,,,,,,,
TS,Th. 2.17 holds,,,,,,,,,
D ,Disconnected components are size 6 or less (then use cut-vertex reduction),,,,,,,,,
K,"Kappa = 1 => cut-vertex, then use cut-vertex reduction",,,,,,,,,
KEZ,"Kappa = Z+, but Kappa(G) <= M+(G)",,,,,,,,,
ZPE3,Z+ = 3 => M+ = 3,,,,,,,,,
CCN,"Z+ = Order(G) - clique_cover_number(G), but Order(G) - clique_cover_number(G) <= M+(G)",,,,,,,,,
MAT,Exhibited matrix representation with nullity equal to Z+(Gn),,,,,,,,,
DUP,The graph has duplicate vertices.,,,,,,,,,
,,,,,,,,,,
Gn,Order(Gn),Z+(Gn),Disconnected,Kappa(Gn),Clique Cover #,ts(Gn),msr(Gn) = ts(Gn) -1,M+(Gn),M+(Gn) = Z+(Gn)?,Reason
0,0,0,YES,Und,0,*,*,0,YES,D
1,1,1,NO,Und,0,1,YES,1,YES,CCN
2,2,2,YES,0,0,*,*,2,YES,D
3,2,1,NO,Und,1,2,YES,1,YES,CCN
4,3,3,YES,0,0,*,*,3,YES,D
5,3,2,YES,0,2,*,*,2,YES,D
6,3,1,NO,1,2,3,YES,1,YES,K
7,3,2,NO,Und,1,2,YES,2,YES,CCN
8,4,4,YES,0,0,*,*,4,YES,D
9,4,3,YES,0,3,*,*,3,YES,D
10,4,2,YES,0,3,*,*,2,YES,D
11,4,2,YES,0,2,*,*,2,YES,D
12,4,3,YES,0,2,*,*,3,YES,D
13,4,1,NO,1,3,4,YES,1,YES,K
14,4,1,NO,1,3,4,YES,1,YES,K
15,4,2,NO,1,2,3,YES,2,YES,K
16,4,2,NO,2,4,3,YES,2,YES,KEZ
17,4,2,NO,2,2,3,YES,2,YES,KEZ
18,4,3,NO,Und,1,2,YES,3,YES,ZPE3
19,5,5,YES,0,0,*,*,5,YES,D
20,5,4,YES,0,4,*,*,4,YES,D
21,5,3,YES,0,4,*,*,3,YES,D
22,5,3,YES,0,3,*,*,3,YES,D
23,5,4,YES,0,3,*,*,4,YES,D
24,5,2,YES,0,4,*,*,2,YES,D
25,5,2,YES,0,4,*,*,2,YES,D
26,5,2,YES,0,3,*,*,2,YES,D
27,5,3,YES,0,3,*,*,3,YES,D
28,5,3,YES,0,5,*,*,3,YES,D
29,5,1,NO,1,4,5,YES,1,YES,K
30,5,1,NO,1,4,5,YES,1,YES,K
31,5,1,NO,1,4,5,YES,1,YES,K
32,5,3,YES,0,2,*,*,3,YES,D
33,5,3,YES,0,3,*,*,3,YES,D
34,5,2,NO,1,3,4,YES,2,YES,K
35,5,2,NO,1,3,4,YES,2,YES,K
36,5,2,NO,1,3,4,YES,2,YES,K
37,5,2,NO,1,5,4,YES,2,YES,K
38,5,2,NO,2,5,4,YES,2,YES,KEZ
39,5,4,YES,0,2,*,*,4,YES,D
40,5,2,NO,1,3,4,YES,2,YES,K
41,5,2,NO,1,3,4,YES,2,YES,K
42,5,3,NO,1,2,3,YES,3,YES,K
43,5,2,NO,2,4,4,YES,2,YES,KEZ
44,5,2,NO,2,6,4,YES,2,YES,KEZ
45,5,3,NO,1,2,3,YES,3,YES,K
46,5,2,NO,2,3,4,YES,2,YES,KEZ
47,5,2,NO,2,3,4,YES,2,YES,KEZ
48,5,3,NO,2,4,3,YES,3,YES,ZPE3
49,5,3,NO,2,2,3,YES,3,YES,ZPE3
50,5,3,NO,3,4,3,YES,3,YES,KEZ
51,5,3,NO,3,2,3,YES,3,YES,KEZ
52,5,4,NO,Und,1,2,YES,4,YES,CCN
53,6,6,YES,0,0,*,*,6,YES,D
54,6,5,YES,0,5,*,*,5,YES,D
55,6,4,YES,0,4,*,*,4,YES,D
56,6,4,YES,0,5,*,*,4,YES,D
57,6,5,YES,0,4,*,*,5,YES,D
58,6,3,YES,0,5,*,*,3,YES,D
59,6,3,YES,0,5,*,*,3,YES,D
60,6,3,YES,0,4,*,*,3,YES,D
61,6,3,YES,0,3,*,*,3,YES,D
62,6,4,YES,0,4,*,*,4,YES,D
